Code,Description,Category
A01.00,Typhoid fever with heart involvement,Bacterial Infections
A01.00,Typhoid Fever,Bacterial Infections
A01.01,Typhoid fever with meningitis,Bacterial Infections
A01.02,Typhoid fever with myocarditis,Bacterial Infections
A01.03,Typhoid fever with nephritis,Bacterial Infections
A01.04,Typhoid fever with splenomegaly,Bacterial Infections
A01.09,Typhoid fever with other complications,Bacterial Infections
A01.1,Paratyphoid fever A,Bacterial Infections
A01.2,Paratyphoid fever B,Bacterial Infections
A01.3,Paratyphoid fever C,Bacterial Infections
A01.4,Paratyphoid fever unspecified,Bacterial Infections
A01.9,Typhoid and paratyphoid fever unspecified,Bacterial Infections
A38,Scarlet Fever,Bacterial Infections
A38,Scarlet fever,Bacterial Infections
A38.0,Scarlet fever with otitis media,Bacterial Infections
A38.1,Scarlet fever with myocarditis,Bacterial Infections
A38.8,Scarlet fever with other complications,Bacterial Infections
A38.9,Scarlet fever unspecified,Bacterial Infections
R50.9,Fever unspecified,Symptoms
R50.81,Fever presenting with conditions classified elsewhere,Symptoms
J06.9,Acute upper respiratory infection unspecified,Respiratory Infections
J15.9,Bacterial pneumonia unspecified,Respiratory Infections
H66.001,Suppurative otitis media without spontaneous rupture of ear drum acute,Ear Infections
H66.901,Otitis media unspecified with rupture of ear drum,Ear Infections
I51.9,Heart disease unspecified,Cardiovascular Diseases
M79.3,Myositis unspecified,Musculoskeletal Diseases
N05.9,Chronic glomerulonephritis unspecified,Kidney Diseases
E86.0,Dehydration,Metabolic Disorders
B09,Unspecified viral infection,Viral Infections
K21.9,Gastro-esophageal reflux disease without esophagitis,Digestive Disorders
I10,Essential hypertension,Cardiovascular Diseases
E11.9,Type 2 diabetes mellitus without complications,Metabolic Disorders
G30.9,Alzheimers disease unspecified,Neurological Disorders
J45.9,Asthma unspecified,Respiratory Diseases
K80.90,Cholelithiasis without cholecystitis without obstruction,Digestive Disorders
M19.90,Unspecified osteoarthritis unspecified site,Musculoskeletal Diseases
F41.1,Generalized anxiety disorder,Mental Health Disorders
M54.5,Low back pain,Musculoskeletal Diseases
F32.9,Major depressive disorder single episode unspecified,Mental Health Disorders
N39.0,Urinary tract infection site not specified,Urinary Tract Infections
J30.9,Allergic rhinitis unspecified,Allergic Conditions
G89.29,Other chronic pain,Pain Syndromes
L89.90,Pressure ulcer of unspecified site unspecified stage,Skin Conditions
F10.229,Alcohol dependence with intoxication unspecified,Substance Use Disorders
B50.9,Malaria,Parasitic Infections
B50.9,Plasmodium falciparum malaria,Parasitic Infections
B51.9,Plasmodium vivax malaria unspecified,Parasitic Infections
B52.9,Plasmodium malariae malaria unspecified,Parasitic Infections
B53.1,Quartan malaria,Parasitic Infections
B54,Unspecified malaria,Parasitic Infections
A15.0,Tuberculosis,Bacterial Infections
A15.0,Tuberculosis of lung,Bacterial Infections
A15.9,Respiratory tuberculosis unspecified,Bacterial Infections
A17.9,Miliary tuberculosis unspecified,Bacterial Infections
A18.8,Tuberculosis of other organs,Bacterial Infections
A19.9,Miliary tuberculosis unspecified,Bacterial Infections
A30.0,Leprosy,Bacterial Infections
A30.0,Indeterminate leprosy,Bacterial Infections
A30.1,Tuberculoid leprosy,Bacterial Infections
A30.2,Borderline tuberculoid leprosy,Bacterial Infections
A30.3,Borderline leprosy,Bacterial Infections
A30.4,Borderline lepromatous leprosy,Bacterial Infections
A30.5,Lepromatous leprosy,Bacterial Infections
A30.9,Leprosy unspecified,Bacterial Infections
B36.9,Unspecified fungal infection,Fungal Infections
B95.9,Unspecified streptococcus as cause of diseases classified elsewhere,Bacterial Infections
M01.X0,Meningococcal arthritis of shoulder,Joint Infections
M01.X1,Meningococcal arthritis of elbow,Joint Infections
M01.X2,Meningococcal arthritis of wrist,Joint Infections
M01.X3,Meningococcal arthritis of hand,Joint Infections
M01.X4,Meningococcal arthritis of hip,Joint Infections
M01.X5,Meningococcal arthritis of knee,Joint Infections
M01.X6,Meningococcal arthritis of ankle and foot,Joint Infections
M01.X7,Meningococcal arthritis of spine,Joint Infections
M01.X8,Meningococcal arthritis other site,Joint Infections
M01.X9,Meningococcal arthritis unspecified site,Joint Infections
M02.30,Postmeningococcal arthritis of unspecified site,Post-Infectious Conditions
M02.31,Postmeningococcal arthritis of shoulder,Post-Infectious Conditions
M02.32,Postmeningococcal arthritis of elbow,Post-Infectious Conditions
M02.33,Postmeningococcal arthritis of wrist,Post-Infectious Conditions
M02.34,Postmeningococcal arthritis of hand,Post-Infectious Conditions
M02.35,Postmeningococcal arthritis of hip,Post-Infectious Conditions
M02.36,Postmeningococcal arthritis of knee,Post-Infectious Conditions
M02.37,Postmeningococcal arthritis of ankle and foot,Post-Infectious Conditions
M02.38,Postmeningococcal arthritis of other sites,Post-Infectious Conditions
M02.39,Postmeningococcal arthritis unspecified,Post-Infectious Conditions
A39.84,Postmeningococcal arthritis,Post-Infectious Conditions
M13.9,Arthritis unspecified,Musculoskeletal Diseases
M17.11,Primary osteoarthritis right knee,Musculoskeletal Diseases
M17.12,Primary osteoarthritis left knee,Musculoskeletal Diseases
M19.91,Unspecified osteoarthritis right knee,Musculoskeletal Diseases
M19.92,Unspecified osteoarthritis left knee,Musculoskeletal Diseases
M15.0,Polyosteoarthritis,Musculoskeletal Diseases
M15.1,Heberdens nodes osteoarthritis,Musculoskeletal Diseases
M15.2,Bouchard nodes osteoarthritis,Musculoskeletal Diseases
M15.3,Secondary polyosteoarthritis,Musculoskeletal Diseases
M15.4,Erosive osteoarthritis,Musculoskeletal Diseases
M15.8,Other polyosteoarthritis,Musculoskeletal Diseases
M15.9,Polyosteoarthritis unspecified,Musculoskeletal Diseases
M05.9,Rheumatoid arthritis unspecified,Autoimmune Diseases
M06.9,Other specified arthritis unspecified site,Musculoskeletal Diseases
M07.68,Enteropathic arthritis of knee,Inflammatory Diseases
M07.69,Enteropathic arthritis of other specified site,Inflammatory Diseases
M09.0,Arthritis in neoplastic disease,Systemic Diseases
M10.0,Idiopathic gout,Metabolic Disorders
M10.9,Gout unspecified,Metabolic Disorders
M11.9,Other chondrocalcinosis unspecified site,Crystal Arthropathies
M12.9,Arthritis unspecified,Musculoskeletal Diseases
L89.00,Pressure ulcer of unspecified elbow stage not specified,Skin Conditions
L89.01,Pressure ulcer of elbow stage 1,Skin Conditions
L89.02,Pressure ulcer of elbow stage 2,Skin Conditions
L89.03,Pressure ulcer of elbow stage 3,Skin Conditions
L89.04,Pressure ulcer of elbow stage 4,Skin Conditions
L89.10,Pressure ulcer of back stage not specified,Skin Conditions
L89.11,Pressure ulcer of back stage 1,Skin Conditions
L89.12,Pressure ulcer of back stage 2,Skin Conditions
L89.13,Pressure ulcer of back stage 3,Skin Conditions
L89.14,Pressure ulcer of back stage 4,Skin Conditions
I63.9,Cerebral infarction unspecified,Cerebrovascular Diseases
I64,Stroke not specified as hemorrhage or infarction,Cerebrovascular Diseases
I61.9,Intracerebral hemorrhage unspecified,Cerebrovascular Diseases
I60.9,Subarachnoid hemorrhage unspecified,Cerebrovascular Diseases
G45.9,Transient cerebral ischemic attack unspecified,Cerebrovascular Diseases
E10.9,Type 1 diabetes mellitus without complications,Metabolic Disorders
E11.9,Type 2 diabetes mellitus without complications,Metabolic Disorders
E13.9,Other specified diabetes mellitus without complications,Metabolic Disorders
F17.290,Nicotine dependence cigarettes unspecified,Substance Use Disorders
F17.210,Nicotine dependence cigarettes continuous,Substance Use Disorders
F17.211,Nicotine dependence cigarettes episodic,Substance Use Disorders
K70.90,Alcoholic liver disease unspecified,Liver Diseases
K75.4,Autoimmune hepatitis,Liver Diseases
B18.9,Viral hepatitis unspecified,Viral Infections
C34.90,Unspecified part of unspecified side of lung,Neoplasms
C50.911,Malignant neoplasm breast unspecified quadrant female,Neoplasms
